Altitude,rho,V_a
0,1.225,340.294
100,1.21328,339.91
200,1.20165,339.526
300,1.19011,339.141
400,1.17864,338.755
500,1.16727,338.37
600,1.15598,337.983
700,1.14477,337.597
800,1.13364,337.21
900,1.1226,336.822
1000,1.11164,336.434
1100,1.10077,336.046
1200,1.08997,335.657
1300,1.07925,335.267
1400,1.06862,334.878
1500,1.05807,334.487
1600,1.04759,334.097
1700,1.0372,333.705
1800,1.02688,333.314
1900,1.01665,332.922
2000,1.00649,332.529
2100,0.99641,332.136
2200,0.986407,331.743
2300,0.976481,331.349
2400,0.966632,330.954
2500,0.956859,330.56
2600,0.947162,330.164
2700,0.93754,329.768
2800,0.927993,329.372
2900,0.91852,328.975
3000,0.909122,328.578
3100,0.899798,328.18
3200,0.890546,327.782
3300,0.881368,327.383
3400,0.872262,326.984
3500,0.863229,326.584
3600,0.854267,326.184
3700,0.845377,325.784
3800,0.836557,325.382
3900,0.827808,324.981
4000,0.819129,324.579
4100,0.81052,324.176
4200,0.801981,323.773
4300,0.79351,323.369
4400,0.785108,322.965
4500,0.776775,322.56
4600,0.768509,322.155
4700,0.76031,321.75
4800,0.752179,321.343
4900,0.744114,320.937
5000,0.736116,320.529
5100,0.728183,320.122
5200,0.720317,319.713
5300,0.712515,319.305
5400,0.704778,318.895
5500,0.697106,318.486
5600,0.689497,318.075
5700,0.681953,317.664
5800,0.674471,317.253
5900,0.667053,316.841
6000,0.659697,316.428
6100,0.652404,316.015
6200,0.645172,315.602
6300,0.638002,315.188
6400,0.630892,314.773
6500,0.623844,314.358
6600,0.616856,313.942
6700,0.609928,313.526
6800,0.60306,313.109
6900,0.596251,312.692
7000,0.589501,312.274
7100,0.58281,311.855
7200,0.576177,311.436
7300,0.569602,311.016
7400,0.563084,310.596
7500,0.556624,310.175
7600,0.55022,309.754
7700,0.543873,309.332
7800,0.537582,308.909
7900,0.531347,308.486
8000,0.525168,308.063
8100,0.519043,307.638
8200,0.512973,307.214
8300,0.506958,306.788
8400,0.500997,306.362
8500,0.49509,305.935
8600,0.489236,305.508
8700,0.483435,305.08
8800,0.477687,304.652
8900,0.471992,304.223
9000,0.466348,303.793
9100,0.460756,303.363
9200,0.455216,302.932
9300,0.449727,302.501
9400,0.444289,302.069
9500,0.438901,301.636
9600,0.433563,301.203
9700,0.428275,300.769
9800,0.423036,300.334
9900,0.417847,299.899
10000,0.412707,299.463
10100,0.407615,299.027
10200,0.402571,298.59
10300,0.397575,298.152
10400,0.392627,297.714
10500,0.387725,297.275
10600,0.382871,296.835
10700,0.378064,296.395
10800,0.373303,295.954
10900,0.368588,295.512
11000,0.363918,295.07
11100,0.358224,295.07
11200,0.35262,295.07
11300,0.347103,295.07
11400,0.341673,295.07
